video_url,duration,description,hours,id,video_path,success,num_frames,height,width,aspect_ratio,resolution,csv_ori
https://www.youtube.com/watch?v=OjC8HBz2e4c,1:26:16,Japan: Suburban South Tokyo Evening Walk • 4K HDR,1.4377777777777778,OjC8HBz2e4c,/share/wjh/raw_videos/total_done_sample_apd_1/OjC8HBz2e4c.webm,False,0,0,0,,,total_done_sample_200_21
https://www.youtube.com/watch?v=aqO3T_Arbkc,36:28,Autumn Walk Through American Neighborhoods with Halloween Decor | Nature Sounds for Sleep and Study,0.6077777777777778,aqO3T_Arbkc,/share/wjh/raw_videos/total_done_sample_apd_1/aqO3T_Arbkc.webm,False,0,0,0,,,total_done_sample_200_51
https://www.youtube.com/watch?v=ypx6FJpDDdY,1:05:48,"Tokyo Japan - Shibuya, Harajuku 1 hour walking tour (4K HDR Remaster)",1.096666666666667,ypx6FJpDDdY,/share/wjh/raw_videos/total_done_sample_apd_1/ypx6FJpDDdY.webm,False,0,0,0,,,total_done_sample_200_119
https://www.youtube.com/watch?v=SgT0qO1w_H8,1:10:07,4K HDR // Osaka Sakura River Walk,1.1686111111111113,SgT0qO1w_H8,/share/wjh/raw_videos/total_done_sample_apd_1/SgT0qO1w_H8.webm,False,0,0,0,,,total_done_sample_200_119
https://www.youtube.com/watch?v=LXP_7oM_PKA,1:14:40,"Tokyo Oimachi Night Walk, Japan | Summer 2024 • 4K HDR",1.2444444444444445,LXP_7oM_PKA,/share/wjh/raw_videos/total_done_sample_apd_1/LXP_7oM_PKA.webm,False,0,0,0,,,total_done_sample_200_119
https://www.youtube.com/watch?v=AUdYT_OjZm0,20:45,Surviving Norway’s Heaviest Snowstorm 🚨 | 4K HDR Adventure,0.3458333333333333,AUdYT_OjZm0,/share/wjh/raw_videos/total_done_sample_apd_1/AUdYT_OjZm0.webm,False,0,0,0,,,total_done_sample_200_142
https://www.youtube.com/watch?v=q909S-nWYEg,54:07,Evening Stroll from Insadong to Jongno Street | Seoul’s Night Lights & Hidden Gems 4K HDR,0.9019444444444444,q909S-nWYEg,/share/wjh/raw_videos/total_done_sample_apd_1/q909S-nWYEg.webm,False,0,0,0,,,total_done_sample_200_135
https://www.youtube.com/watch?v=6TNV8JBBhyM,59:51,"Tokyo Shinagawa Evening Walk, Japan | Summer 2024 • 4K HDR",0.9975,6TNV8JBBhyM,/share/wjh/raw_videos/total_done_sample_apd_1/6TNV8JBBhyM.webm,False,0,0,0,,,total_done_sample_200_56
https://www.youtube.com/watch?v=aGhjH_GZt9c,58:19,One Of The Most Beautiful Neighborhoods In New York City - Whitestone Queens Virtual Tour,0.9719444444444444,aGhjH_GZt9c,/share/wjh/raw_videos/total_done_sample_apd_1/aGhjH_GZt9c.webm,False,0,0,0,,,total_done_sample_200_56
https://www.youtube.com/watch?v=G6XYwB-mWu0,1:16:56,"Tokyo day to night walk in Meguro, Japan • 4K HDR",1.2822222222222222,G6XYwB-mWu0,/share/wjh/raw_videos/total_done_sample_apd_1/G6XYwB-mWu0.webm,False,0,0,0,,,total_done_sample_200_23
https://www.youtube.com/watch?v=UN-TUuMKhFc,57:43,"Osaka Umeda Morning Walk, Japan • 4K HDR",0.9619444444444444,UN-TUuMKhFc,/share/wjh/raw_videos/total_done_sample_apd_1/UN-TUuMKhFc.webm,False,0,0,0,,,total_done_sample_200_23
https://www.youtube.com/watch?v=V-q8Hn_6vHY,1:02:33,"Suburban Tokyo Afternoon Walk in Yōga, Japan • 4K HDR",1.0425000000000002,V-q8Hn_6vHY,/share/wjh/raw_videos/total_done_sample_apd_1/V-q8Hn_6vHY.webm,False,0,0,0,,,total_done_sample_200_23
